UAL Adj Close 9	0    0.000117
GILD Adj Close 8	0    0.000117
ECL Adj Close 9	0    0.000117
DVN Adj Close 10	0    0.000117
MXIM Adj Close 6	0    0.000117
RJF Adj Close 8	0    0.000116
GPS Adj Close 21	0    0.000116
ETSY Adj Close 13	0    0.000116
AAP Adj Close 20	0    0.000116
PRGO Adj Close 1	0    0.000115
INCY Adj Close 4	0    0.000114
PEAK Adj Close 5	0    0.000114
BIIB Adj Close	0    0.000113
PPL Adj Close	0    0.000113
UA Adj Close 14	0    0.000113
GL Adj Close	0    0.000112
PSX Adj Close 4	0    0.000112
FOX Adj Close	0    0.000112
HSY Adj Close 2	0    0.000111
MCHP Adj Close 13	0    0.000111
SO Adj Close 19	0    0.00011
BR Adj Close	0    0.00011
UA Adj Close 20	0    0.00011
LMT Adj Close 2	0    0.000109
ANSS Adj Close	0    0.000109
ECL Adj Close 18	0    0.000109
CF Adj Close 15	0    0.000109
IRM Adj Close 18	0    0.000108
SNA Adj Close 14	0    0.000108
EMR Adj Close 18	0    0.000108
ANTM Adj Close 3	0    0.000107
ETR Adj Close 4	0    0.000106
DVN Adj Close 18	0    0.000106
IQV Adj Close 6	0    0.000106
FISV Adj Close 5	0    0.000106
LUV Adj Close 12	0    0.000106
CF Adj Close 3	0    0.000105
CCI Adj Close 9	0    0.000105
ZBH Adj Close 14	0    0.000105
MHK Adj Close 14	0    0.000105
CFG Adj Close 16	0    0.000105
AMGN Adj Close 11	0    0.000104
IBM Adj Close 15	0    0.000104
HUM Adj Close 4	0    0.000104
APA Adj Close 3	0    0.000104
LNC Adj Close 16	0    0.000103
UNM Adj Close 7	0    0.000103
ADM Adj Close 6	0    0.000102
KO Adj Close	0    0.000102
AAP Adj Close 12	0    0.000102
LIN Adj Close 1	0    0.000102
ENPH Adj Close 10	0    0.000102
LMT Adj Close 17	0    0.000101
MRK Adj Close 11	0    0.000101
COG Adj Close 2	0    0.000101
CTLT Adj Close 2	0    0.0001
EL Adj Close 13	0    0.0001
UNH Adj Close 4	0    0.0001
CHTR Adj Close 7	0    0.000099
WYNN Adj Close 18	0    0.000099
GIS Adj Close 14	0    0.000099
EXPD Adj Close 5	0    0.000099
MU Adj Close 20	0    0.000098
QCOM Adj Close 4	0    0.000098
YUM Adj Close	0    0.000097
NCLH Adj Close 16	0    0.000097
RL Adj Close 4	0    0.000097
RJF Adj Close 5	0    0.000097
JNPR Adj Close	0    0.000096
CHTR Adj Close 19	0    0.000096
VFC Adj Close 21	0    0.000096
CNC Adj Close 20	0    0.000095
IFF Adj Close 21	0    0.000095
TFC Adj Close	0    0.000094
MMM macd 8	0    0.000093
ECL Adj Close 2	0    0.000092
